2023_Sample_name,ASV_5,ASV_6,ASV_7,ASV_8,ASV_11,ASV_13,ASV_17,ASV_18,ASV_24,ASV_26,ASV_28,ASV_30,ASV_31,ASV_32,ASV_39,ASV_40,ASV_43,ASV_46,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_54,ASV_55,ASV_56,ASV_57,ASV_58,ASV_59,ASV_60,ASV_61,ASV_62,ASV_63,ASV_65,ASV_66,ASV_67,ASV_68,ASV_69,ASV_70,ASV_71,ASV_72,ASV_73,ASV_74,ASV_76,ASV_77,ASV_78,ASV_79,ASV_80,ASV_81,ASV_83,ASV_85,ASV_89,ASV_91,ASV_92,ASV_93,ASV_96,ASV_97,ASV_98,ASV_99,ASV_101,ASV_102,ASV_103,ASV_105,ASV_106,ASV_107,ASV_108,ASV_109,ASV_110,ASV_112,ASV_113,ASV_114,ASV_115,ASV_116,ASV_117,ASV_119,ASV_120,ASV_122,ASV_123,ASV_125,ASV_126,ASV_127,ASV_128,ASV_129,ASV_130,ASV_131,ASV_132,ASV_133,ASV_134,ASV_135,ASV_136,ASV_138,ASV_139,ASV_141,ASV_143,ASV_144,ASV_145,ASV_148,ASV_149,ASV_151,ASV_152,ASV_153,ASV_155,ASV_156,ASV_159,ASV_160,ASV_161,ASV_162,ASV_163,ASV_164,ASV_166,ASV_167,ASV_168,ASV_174,ASV_176,ASV_180,ASV_181,ASV_182,ASV_185,ASV_188,ASV_190,ASV_191,ASV_192,ASV_195,ASV_196,ASV_197,ASV_198,ASV_199,ASV_200,ASV_201,ASV_202,ASV_203,ASV_207,ASV_208,ASV_211,ASV_212,ASV_214,ASV_215,ASV_216,ASV_217,ASV_218,ASV_224,ASV_226,ASV_227,ASV_230,ASV_232,ASV_233,ASV_234,ASV_237,ASV_238,ASV_239,ASV_240,ASV_241,ASV_243,ASV_246,ASV_250,ASV_251,ASV_253,ASV_254,ASV_255,ASV_256,ASV_260,ASV_262,ASV_266,ASV_267,ASV_269,ASV_270,ASV_272,ASV_275,ASV_276,ASV_277,ASV_279,ASV_282,ASV_283,ASV_284,ASV_287,ASV_289,ASV_290,ASV_293,ASV_300,ASV_301,ASV_307,ASV_309,ASV_317,ASV_330,ASV_340,ASV_341,ASV_343,ASV_344,ASV_347,ASV_349,ASV_350,ASV_351,ASV_352,ASV_357,ASV_359,ASV_363,ASV_364,ASV_378,ASV_387,ASV_389,ASV_394,ASV_398,ASV_408,ASV_412,ASV_413,ASV_423,ASV_433,ASV_440,ASV_447,ASV_453,ASV_454,ASV_459,ASV_467,ASV_468,ASV_482,ASV_483,ASV_498,ASV_500,ASV_506,ASV_509,ASV_510,ASV_511,ASV_512,ASV_517,ASV_518,ASV_520,ASV_521,ASV_530,ASV_534,ASV_535,ASV_543,ASV_545,ASV_546,ASV_550,ASV_552,ASV_555,ASV_557,ASV_565,ASV_572,ASV_573,ASV_575,ASV_576,ASV_579,ASV_580,ASV_584,ASV_598,ASV_600,ASV_601,ASV_608,ASV_613,ASV_618,ASV_619,ASV_620,ASV_624,ASV_629,ASV_632,ASV_636,ASV_637,ASV_641,ASV_648,ASV_649,ASV_650,ASV_651,ASV_671,ASV_675,ASV_676,ASV_677,ASV_683,ASV_684,ASV_685,ASV_690,ASV_692,ASV_695,ASV_697,ASV_702,ASV_704,ASV_705,ASV_706,ASV_708,ASV_715,ASV_738,ASV_739,ASV_745,ASV_746,ASV_747,ASV_752,ASV_754,ASV_756,ASV_759,ASV_767,ASV_768,ASV_772,ASV_773,ASV_779,ASV_781,ASV_783,ASV_784,ASV_785,ASV_789,ASV_796,ASV_797,ASV_805,ASV_811,ASV_815,ASV_816,ASV_819,ASV_820,ASV_824,ASV_826,ASV_827,ASV_834,ASV_845,ASV_846,ASV_851,ASV_854,ASV_859,ASV_860,ASV_866,ASV_867,ASV_868,ASV_870,ASV_871,ASV_877,ASV_882,ASV_895,ASV_905,ASV_912,ASV_913,ASV_914,ASV_923,ASV_924,ASV_927,ASV_928,ASV_934,ASV_935,ASV_936,ASV_950,ASV_961,ASV_962,ASV_969,ASV_970,ASV_972,ASV_973,ASV_974,ASV_975,ASV_980,ASV_990,ASV_991,ASV_992,ASV_993,ASV_994,ASV_995,ASV_996,ASV_1005,ASV_1013,ASV_1015,ASV_1016,ASV_1026,ASV_1032,ASV_1033,ASV_1037,ASV_1038,ASV_1039,ASV_1040,ASV_1046,ASV_1047,ASV_1049,ASV_1051,ASV_1052,ASV_1061,ASV_1062,ASV_1071,ASV_1076,ASV_1077,ASV_1078,ASV_1079,ASV_1085,ASV_1086,ASV_1087,ASV_1088,ASV_1089,ASV_1090,ASV_1091,ASV_1092,ASV_1101,ASV_1103,ASV_1108,ASV_1110,ASV_1111,ASV_1117,ASV_1118,ASV_1120,ASV_1121,ASV_1122,ASV_1123,ASV_1124,ASV_1125,ASV_1135,ASV_1136,ASV_1137,ASV_1138,ASV_1140,ASV_1158,ASV_1159,ASV_1160,ASV_1161,ASV_1162,ASV_1176,ASV_1177,ASV_1179,ASV_1180,ASV_1182,ASV_1183,ASV_1191,ASV_1192,ASV_1193,ASV_1194,ASV_1195,ASV_1196,ASV_1197,ASV_1210,ASV_1211,ASV_1212,ASV_1213,ASV_1227,ASV_1228,ASV_1229,ASV_1230,ASV_1231,ASV_1242,ASV_1243,ASV_1244,ASV_1245,ASV_1258,ASV_1259,ASV_1260,ASV_1261
2023Pollinator10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,1150,0,0,1105,0,0,0,0,0,0,0,582,0,0,0,563,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,528,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,503,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator11a,4,0,566,4,0,29078,0,0,3967,0,0,0,0,669,3695,0,0,0,0,2041,0,5968,0,5504,0,0,0,4986,4791,0,0,0,0,0,0,0,11,4144,0,4017,3525,0,0,3034,3641,0,0,0,0,0,0,0,0,0,2039,0,0,0,0,0,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0,895,0,0,0,0,0,0,625,724,0,0,0,0,0,0,0,605,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,443,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,106,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator12a,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,202,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,955,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator12b,15,0,35,0,0,61,0,0,0,0,0,0,0,0,13,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,78,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,27,0,0,0,0,0,25,0,0,0,0,0,0,24,0,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator1a,113,0,22,1059,0,0,22,10,0,0,0,0,0,0,11,0,0,0,0,14,0,0,56,0,0,0,0,0,0,0,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,50,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator1b,859,1020,1228,257,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,13,13,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator1c,9,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Pollinator1d,5740,1734,3825,0,0,189,0,305,0,0,0,0,0,223,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
